"Ls","H_horiz","H_best","beta_best","gamma_c_best","H_worst","beta_worst","gamma_c_worst"
1,3753.78084099715,3982.95552246149,-10,-85,NA,NA,NA
2,3740.11035857678,3968.82090152209,-10,-84,NA,NA,NA
3,3726.33267701591,3954.64162740594,-10,-83,NA,NA,NA
4,3712.45447611477,3940.4146644699,-10,-82,NA,NA,NA
5,3698.48233998959,3926.14922851829,-10,-81,NA,NA,NA
6,3684.42280239948,3911.85024816555,-10,-80,NA,NA,NA
7,3670.28237919312,3897.51926371381,-10,-80,NA,NA,NA
8,3656.06759236354,3883.16766242435,-10,-78,NA,NA,NA
9,3641.78498820719,3868.80045844659,-10,-78,NA,NA,NA
10,3627.44115114991,3854.41946076072,-10,-77,NA,NA,NA
11,3613.04271429134,3840.02887159317,-10,-76,NA,NA,NA
12,3598.59636740294,3825.63387692182,-10,-75,NA,NA,NA
13,3584.10886290646,3811.23869300116,-10,-74,NA,NA,NA
14,3569.61041533552,3796.84705347737,-10,-73,NA,NA,NA
15,3555.05696810454,3782.46325730963,-10,-72,NA,NA,NA
16,3540.48376619869,3768.09159460128,-10,-71,NA,NA,NA
17,3525.89771619951,3753.73815167834,-10,-71,NA,NA,NA
18,3511.30581929162,3739.41944926636,-10,-70,NA,NA,NA
19,3496.7063921492,3725.12937936176,-10,-69,NA,NA,NA
20,3482.12572887201,3710.87033763487,-10,-68,NA,NA,NA
21,3467.56046813007,3696.64671381295,-10,-67,NA,NA,NA
22,3453.01799656543,3682.47491917777,-10,-67,NA,NA,NA
23,3438.50576525918,3668.35853200552,-10,-66,NA,NA,NA
24,3424.03128673578,3654.29718735181,-10,-65,NA,NA,NA
25,3409.602131652,3640.28905942373,-10,-65,NA,NA,NA
26,3395.22592521043,3626.40241450215,-10,-64,NA,NA,NA
27,3380.91034333316,3612.54505857472,-10,-63,NA,NA,NA
28,3366.66310862754,3598.76256844037,-10,-63,NA,NA,NA
29,3352.49198617278,3585.08325314998,-10,-62,NA,NA,NA
30,3338.40477915313,3571.48586036395,-10,-61,NA,NA,NA
31,3324.40932436075,3557.99337704338,-10,-61,NA,NA,NA
32,3310.51348758896,3544.58718580463,-10,-60,NA,NA,NA
33,3296.72515893416,3531.32337610648,-10,-59,NA,NA,NA
34,3283.05224802282,3518.1871982182,-10,-59,NA,NA,NA
35,3269.50267917762,3505.16008657388,-10,-58,NA,NA,NA
36,3256.08438653524,3492.28180777088,-10,-58,NA,NA,NA
37,3242.80530912617,3479.52100755135,-10,-58,NA,NA,NA
38,3229.67338592568,3466.93542180664,-10,-57,NA,NA,NA
39,3216.69655088297,3454.49498502234,-10,-56,NA,NA,NA
40,3203.88272793442,3442.22576471377,-10,-56,NA,NA,NA
41,3191.2398260053,3430.11668403016,-10,-55,NA,NA,NA
42,3178.77573400288,3418.19802568922,-10,-55,NA,NA,NA
43,3166.49831580305,3406.44680939295,-10,-54,NA,NA,NA
44,3154.41540523081,3394.90954881862,-10,-54,NA,NA,NA
45,3142.53480103477,3383.55516952791,-10,-54,NA,NA,NA
46,3130.86426185415,3372.41893682022,-10,-53,NA,NA,NA
47,3119.41150117658,3361.49406152054,-10,-53,NA,NA,NA
48,3108.18418228385,3350.78807490719,-10,-52,NA,NA,NA
49,3097.18991318263,3340.32156281146,-10,-52,NA,NA,NA
50,3086.43624151633,3330.08299986498,-10,-52,NA,NA,NA
51,3075.93064945422,3320.09072594523,-10,-51,NA,NA,NA
52,3065.68054855362,3310.35096554543,-10,-51,NA,NA,NA
53,3055.69327459086,3300.85821324403,-10,-51,NA,NA,NA
54,3045.97608235671,3291.64116826936,-10,-50,NA,NA,NA
55,3036.53615105566,3282.69667512296,-10,-50,NA,NA,NA
56,3027.38053481897,3274.0221743467,-10,-50,NA,NA,NA
57,3018.51622636719,3265.64107184165,-10,-49,NA,NA,NA
58,3009.95010361137,3257.55706384798,-10,-49,NA,NA,NA
59,3001.68893679516,3249.76513640822,-10,-49,NA,NA,NA
60,2993.73938300125,3242.27324739356,-10,-48,NA,NA,NA
61,2986.1079806022,3235.1123829225,-10,-48,NA,NA,NA
62,2978.80114365538,3228.26460158297,-10,-48,NA,NA,NA
