"Ls","H_horiz","H_best","beta_best","gamma_c_best"
1,2991.38717307922,3039.99772631754,-10,-83
2,2980.2727842107,3028.87470504266,-10,-82
3,2969.02176549714,3017.63981700501,-10,-81
4,2957.63932670513,3006.30347060227,-10,-79
5,2946.1311176966,2994.86501827073,-10,-78
6,2934.50315652088,2983.32880234171,-10,-77
7,2922.76177345356,2971.70376188593,-10,-75
8,2910.91356554763,2959.99312858834,-10,-74
9,2898.89652972237,2948.20099679515,-10,-73
10,2886.9241751768,2936.33328980667,-10,-72
11,2874.797205834,2924.39606198444,-10,-71
12,2862.5917853085,2912.39691298624,-10,-69
13,2850.31537038794,2900.34325055845,-10,-68
14,2837.97552059314,2888.23822960456,-10,-67
15,2825.57988079674,2876.08823012114,-10,-66
16,2813.1361655902,2863.8996875438,-10,-65
17,2800.65214519294,2851.67908275109,-10,-64
18,2788.13563273729,2839.4494882164,-10,-63
19,2775.59447279249,2827.18603414531,-10,-63
20,2763.03653101235,2814.91128953826,-10,-62
21,2750.46968480683,2802.63140907696,-10,-61
22,2737.90181495014,2790.35299040772,-10,-60
23,2725.34079804675,2778.08263733849,-10,-59
24,2712.79449978409,2765.82822985532,-10,-59
25,2700.27076890642,2753.6004125649,-10,-58
26,2687.77743184837,2741.40116712103,-10,-57
27,2675.32228797107,2729.23787266133,-10,-56
28,2662.91310534644,2717.12206442809,-10,-56
29,2650.55761703804,2705.05921339905,-10,-55
30,2638.26351782922,2693.05186984168,-10,-54
31,2626.03846135166,2681.11373123668,-10,-54
32,2613.89005756896,2669.24626343945,-10,-53
33,2601.82587057229,2657.45902455034,-10,-53
34,2589.85341664668,2645.76456422003,-10,-52
35,2577.9801625681,2634.15930121802,-10,-51
36,2566.21352409378,2622.66104735548,-10,-51
37,2554.56086460934,2611.27024928314,-10,-50
38,2543.02949389844,2599.99614063515,-10,-50
39,2531.62666700222,2588.84208715074,-10,-49
40,2520.35958313773,2577.82112767781,-10,-49
41,2509.235384646,2566.93289770252,-10,-48
42,2498.26115594254,2556.19376806931,-10,-48
43,2487.4439224447,2545.60020531979,-10,-48
44,2476.79064945207,2535.16955178502,-10,-47
45,2466.30824095792,2524.90058250358,-10,-47
46,2456.00353837177,2514.80386790164,-10,-46
47,2445.88331913453,2504.88716570082,-10,-46
48,2435.95429520986,2495.15224480723,-10,-45
49,2426.22311143706,2485.61513344299,-10,-45
50,2416.69634373256,2476.27280670433,-10,-45
51,2407.38049712894,2467.1327778633,-10,-44
52,2398.28200364204,2458.20997315133,-10,-44
53,2389.40721995869,2449.50218335849,-10,-44
54,2380.76242493903,2441.01711350864,-10,-43
55,2372.35381692915,2432.76795846346,-10,-43
56,2364.18751088156,2424.75336699814,-10,-43
57,2356.26953528229,2416.97977578785,-10,-43
58,2348.60582888531,2409.45673449537,-10,-42
