Ls,H_horiz,H_best,beta_best,gamma_c_best
1,3059.13788641489,3458.13499793915,15,44
2,3075.81135415312,3472.51256975521,15,44
3,3092.296852235,3486.64203742267,15,45
4,3108.59194279605,3500.58380654522,15,45
5,3124.69443824499,3514.34341370315,15,49
6,3140.60239814147,3528.07957608872,15,49
7,3156.31412588978,3541.01388816594,15,46
8,3171.82816524985,3554.0641595747,15,47
9,3187.14329666629,3567.91318453387,15,48
10,3202.25853341586,3580.55127514838,15,48
11,3217.17311757335,3591.88216340166,15,48
12,3231.88651579582,3604.83256874935,15,47
13,3246.39841492468,3616.6385731694,15,47
14,3260.70871740524,3627.84386587101,15,50
15,3274.81753652338,3639.41483059387,15,51
16,3288.72519145882,3650.80995828802,15,51
17,3302.43220215502,3662.00571428304,15,52
18,3315.93928400558,3673.09047602375,15,52
19,3329.24734235778,3683.86126676454,15,52
20,3342.35746683381,3694.4819744452,15,54
21,3355.27092547113,3704.96600988504,15,54
22,3367.98915868375,3715.27615855846,15,55
23,3380.51377304664,3725.40545185397,15,56
24,3392.84653490656,3735.40435013709,15,56
25,3404.98936382275,3745.24259182785,15,57
26,3416.9443186126,3754.92134755158,15,58
27,3428.71361719361,3764.47410855667,15,58
28,3440.29959218269,3773.88958042172,15,59
29,3451.70470704574,3783.21423908466,15,60
30,3462.93154327444,3792.31445519651,15,61
31,3473.98279292402,3801.36265944818,15,61
32,3484.86125102844,3810.2882298628,15,62
33,3495.56980790289,3819.10476044179,15,63
34,3506.11144134435,3827.81383634121,15,64
35,3516.48920874196,3836.44883282887,15,64
36,3526.70623910926,3844.96386285049,15,65
37,3536.76572505134,3853.4110691205,15,66
38,3546.67091468045,3861.77713703617,15,67
39,3556.42510349411,3870.06736969399,15,68
40,3566.03162623034,3878.28605522512,15,69
41,3575.49384871504,3886.4375601322,15,70
42,3584.81515971669,3894.53009000974,15,70
43,3593.99896282418,3902.57644528831,15,71
44,3603.04866836326,3910.5686062483,15,72
45,3611.96768536744,3918.51184477202,15,73
46,3620.75941361925,3926.4082238576,15,74
47,3629.42723577713,3934.26869517197,15,75
48,3637.97450960367,3942.08626472735,15,76
49,3646.40456030983,3949.86750203064,15,77
50,3654.7206730301,3957.61453786369,15,78
51,3662.92608544227,3965.3290697027,15,79
52,3671.02398054545,3973.00837057845,15,80
53,3679.01747960886,3980.6704136225,15,80
54,3686.90963530329,3988.30507648198,15,81
55,3694.70342502622,3995.91079195103,15,82
56,3702.40174443047,4003.4871867202,15,83
57,3710.00740116556,4011.03241253457,15,84
58,3717.52310883942,4018.54814731615,15,85
59,3724.95148120757,4026.0383401198,15,85
60,3732.29502659506,4033.50577855738,15,86
61,3739.55614255595,4040.93717627089,15,87
62,3746.73711077362,4048.33196387409,15,88
63,3753.84009220393,4055.69973877266,15,88
64,3760.86712246259,4063.03952998561,15,89
65,3767.82010745649,4070.33122703143,15,90
66,3774.70081925818,4077.59170444483,15,90
67,3781.51089222131,4084.81311477892,15,91
68,3788.25181933424,4091.98185640156,15,91
69,3794.92494880814,4099.1215396667,15,92
70,3801.53148089511,4106.20045805038,15,93
71,3808.07246493135,4113.25278472332,15,93
72,3814.54879659975,4120.28213766723,15,94
73,3820.96121540612,4127.23478616104,15,94
74,3827.31030236263,4134.11606629473,15,94
75,3833.59647787226,4140.92667737831,15,94
76,3839.81999980769,4147.66713261117,15,94
77,3845.98096177811,4154.35702158753,15,95
78,3852.07929157789,4160.99867200634,15,96
79,3858.11474981073,4167.58576679774,15,96
80,3864.08692868375,4174.09822269712,15,96
81,3869.99525096607,4180.53554553504,15,96
82,3875.83896910681,4186.90221426408,15,97
83,3881.61716450826,4193.20527419466,15,97
84,3887.32874695016,4199.42816130604,15,97
85,3892.97245416181,4205.5695711271,15,97
86,3898.54685153925,4211.6279996193,15,97
87,3904.05033200548,4217.6017426983,15,97
88,3909.48111601203,4223.48889595489,15,97
89,3914.83725168131,4229.28735457556,15,97
90,3920.11661508921,4234.99481346425,15,97
91,3925.31691068863,4240.60876756683,15,97
92,3930.43567187486,4246.12651240068,15,97
93,3935.4702616946,4251.54514479175,15,97
94,3940.41787370082,4256.86156382251,15,97
95,3945.27553295662,4262.07247199417,15,97
96,3950.04009719157,4267.1743766072,15,97
97,3954.70825811487,4272.1635913647,15,97
98,3959.27654289019,4277.0362382034,15,97
99,3963.74131577768,4281.80408226027,15,96
100,3968.09877994944,4286.45482634512,15,96
101,3972.34497948507,4290.9787476188,15,96
102,3976.47580155477,4295.37122086527,15,96
103,3980.48697879785,4299.64791662965,15,95
104,3984.37409190515,4303.81045618028,15,94
105,3988.13257241433,4307.85155854428,15,94
106,3991.75770572721,4311.74594174285,15,94
107,3995.24463435905,4315.488094374,15,94
108,3998.58836142955,4319.07234118179,15,94
109,4001.78375440569,4322.48816776823,15,93
110,4004.82554910647,4325.78727462775,15,93
111,4007.70835397966,4328.96140506276,15,92
112,4010.42665466032,4331.96996660673,15,91
113,4012.97481882048,4334.84198152513,15,91
114,4015.34710131903,4337.54801102958,15,90
115,4017.53764966002,4340.09811636808,15,90
116,4019.54050976705,4342.49641153721,15,89
117,4021.34963208002,4344.72067316139,15,88
118,4022.95887798008,4346.7882943394,15,88
119,4024.36202654678,4348.69634360688,15,87
120,4025.55278165046,4350.43057715826,15,86
121,4026.52477938142,4351.98772950908,15,85
122,4027.2715958156,4353.37840177037,15,85
123,4027.78675511526,4354.59595591891,15,84
124,4028.06373796098,4355.63255297129,15,83
125,4028.09599030995,4356.48288565407,15,82
126,4027.8769324734,4357.1455788899,15,81
127,4027.39996850426,4357.61775726968,15,80
128,4026.65849588438,4357.89795827823,15,80
129,4025.6459154988,4357.99423758503,15,79
130,4024.35564188257,4357.88390379049,15,78
131,4022.78111372427,4357.56705710461,15,77
132,4020.91580460825,4357.03904002838,15,76
133,4018.75323397638,4356.29481318668,15,75
134,4016.28697828845,4355.32451054541,15,74
135,4013.51068235888,4354.13340259228,15,73
136,4010.41807084648,4352.70695716341,15,72
137,4007.00295987236,4351.04058992557,15,71
138,4003.2592687406,4349.12624098946,15,70
139,3999.18103173505,4346.9708043517,15,70
140,3994.76240996532,4344.55803323414,15,69
141,3989.99770323409,4341.87687553697,15,68
142,3984.8813618978,4338.92066881119,15,67
143,3979.40799869249,4335.68294390935,15,66
144,3973.57240049642,4332.15619631184,15,65
145,3967.3695400014,4328.35403086149,15,64
146,3960.79458726474,4324.21632274874,15,64
147,3953.84292111456,4319.79366795332,15,63
148,3946.51014038124,4315.04730137851,15,62
149,3938.79207492905,4309.97446143458,15,61
150,3930.68479646228,4304.55889357548,15,61
151,3922.18462908161,4298.88011763339,15,60
152,3913.28815956719,4292.74166823611,15,59
153,3903.99224736609,4286.2949129139,15,58
154,3894.29403426328,4279.48671075661,15,58
155,3884.19095998225,4272.32976780467,15,57
156,3873.68074454483,4264.78585321972,15,56
157,3862.76143948141,4256.85368910248,15,56
158,3851.43140557861,4248.56809309376,15,55
159,3839.68932893687,4239.87176243656,15,54
160,3827.53422837532,4230.77314548886,15,54
161,3814.96546241208,4221.31552745234,15,52
162,3801.9827358108,4211.48440331028,15,52
163,3788.58610568512,4201.09274583103,15,52
164,3774.7759871544,4190.37437363282,15,51
165,3760.55315854535,4179.22915820713,15,51
166,3745.91876613559,4167.68549279993,15,50
167,3730.87432843622,4156.36723633102,15,47
168,3715.42174001191,4144.16571546488,15,47
169,3699.56327483776,4130.45703592374,15,48
170,3683.30158919342,4118.42144046833,15,48
171,3666.63972409577,4104.69533272029,15,48
172,3649.58110727207,4089.39095532462,15,47
173,3632.12955467646,4074.8229370553,15,46
174,3614.28927155293,4060.20837549779,15,49
175,3596.06485304847,4044.49365572475,15,49
176,3577.46128438054,4028.57733375609,15,45
177,3558.48394056293,4012.27963857763,15,45
178,3539.13858569449,3995.5971969268,15,44
179,3519.43137181494,3978.46362328619,15,44
180,3499.36883733207,3960.93764789673,15,43
181,3478.95790502435,3942.94770086614,15,43
182,3458.20587962257,3924.54528565877,15,42
183,3437.12044497411,3905.78891656927,15,42
184,3415.7096607924,3886.58445028825,15,42
185,3393.98195899425,3866.9792408185,15,41
186,3371.94613962681,3847.00092496725,15,41
187,3349.61136638535,3826.60766095205,15,41
188,3326.98716172246,3805.87172092159,15,40
189,3304.08340154874,3784.74689715077,15,40
190,3280.91030952426,3763.23821761645,15,39
191,3257.47845093947,3741.41458751511,15,39
192,3233.79872618382,3719.21982014076,15,39
193,3209.88236379949,3696.67536253002,15,38
194,3185.74091311756,3673.83888273574,15,38
195,3161.38623647315,3650.66329675493,15,38
196,3136.83050099604,3627.20549047877,15,37
197,3112.08616997292,3603.45183715704,15,37
198,3087.16599377743,3579.39519652991,15,37
199,3062.08300036407,3555.048814964,15,37
200,3036.85048532242,3530.44496142447,15,36
201,3011.48200148835,3505.64001203835,15,36
202,2985.99134810945,3480.57014359023,15,36
203,2960.39255956255,3455.27644910548,15,35
204,2934.69989362217,3429.81729296381,15,35
205,2908.92781927966,3404.14910210026,15,35
206,2883.09100411418,3378.29616776631,15,35
207,2857.20430121793,3352.31708347666,15,34
208,2831.28273567971,3326.19180262002,15,34
209,2805.3414906328,3299.93191679735,15,34
210,2779.39589287484,3273.56493807242,15,33
211,2753.46139806974,3247.12845285475,15,33
212,2727.55357554385,3220.60874241982,15,33
213,2701.68809269094,3194.02105548325,15,33
214,2675.88069900315,3167.39192174754,15,32
215,2650.14720974776,3140.77145386258,15,32
216,2624.50348931202,3114.1410193428,15,32
217,2598.96543424142,3087.51665163075,15,32
218,2573.54895599922,3060.92796932385,15,31
219,2548.2699634781,3034.41616181014,15,31
220,2523.14434529709,3007.96746434087,15,31
221,2498.18795192018,2981.61081642121,15,31
222,2473.41657763506,2955.34825112346,15,31
223,2448.84594243299,2929.22967632357,15,30
224,2424.49167383326,2903.26931867542,15,30
225,2400.36928869745,2877.46936911644,15,30
226,2376.49417508067,2851.84894788131,15,30
227,2352.88157416841,2826.43106127033,15,30
228,2329.54656234895,2801.26226683047,15,29
229,2306.504033472,2776.33760346171,15,29
230,2283.76868134515,2751.67115446187,15,29
231,2261.35498251928,2727.28012759791,15,29
232,2239.27717941445,2703.18429856759,15,29
