"Ls","H_horiz","H_best","beta_best","gamma_c_best","H_worst","beta_worst","gamma_c_worst"
1,2953.42455873999,3191.99604818781,10,45,NA,NA,NA
2,2969.98509862916,3207.63478970471,10,45,NA,NA,NA
3,2986.35781782311,3223.07352090574,10,46,NA,NA,NA
4,3002.54041882625,3238.29137345313,10,46,NA,NA,NA
5,3018.53085762587,3253.27955757593,10,47,NA,NA,NA
6,3034.32733927832,3268.07314719122,10,47,NA,NA,NA
7,3049.92831330062,3282.66604003962,10,48,NA,NA,NA
8,3065.33246887878,3297.03469931564,10,48,NA,NA,NA
9,3080.53872990406,3311.20839356214,10,49,NA,NA,NA
10,3095.5462498474,3325.15527879095,10,50,NA,NA,NA
11,3110.35440648187,3338.91224499679,10,50,NA,NA,NA
12,3124.96279646242,3352.45241949408,10,51,NA,NA,NA
13,3139.37122977166,3365.79230381599,10,51,NA,NA,NA
14,3153.57972403974,3378.93152140755,10,52,NA,NA,NA
15,3167.58849874612,3391.85818334545,10,52,NA,NA,NA
16,3181.39796931045,3404.60252370256,10,53,NA,NA,NA
17,3195.00874107925,3417.13767492826,10,54,NA,NA,NA
18,3208.4216032148,3429.48239792798,10,54,NA,NA,NA
19,3221.63752249229,3441.63902806981,10,55,NA,NA,NA
20,3234.65763701078,3453.59678058377,10,56,NA,NA,NA
21,3247.48324982343,3465.38064723555,10,56,NA,NA,NA
22,3260.11582249202,3476.97870835834,10,57,NA,NA,NA
23,3272.55696857068,3488.38921123399,10,58,NA,NA,NA
24,3284.8084470235,3499.63708045023,10,58,NA,NA,NA
25,3296.87215558054,3510.70950558676,10,59,NA,NA,NA
26,3308.75012403667,3521.60727207183,10,60,NA,NA,NA
27,3320.44450749762,3532.35666594218,10,60,NA,NA,NA
28,3331.95757957752,3542.93838399457,10,61,NA,NA,NA
29,3343.29172555215,3553.34711325319,10,62,NA,NA,NA
30,3354.4494354724,3563.60973749672,10,62,NA,NA,NA
31,3365.43329724204,3573.73445149746,10,63,NA,NA,NA
32,3376.24598966452,3583.70884013109,10,64,NA,NA,NA
33,3386.89027546313,3593.53704692754,10,65,NA,NA,NA
34,3397.36899427926,3603.22986119326,10,65,NA,NA,NA
35,3407.6850556535,3612.81840928046,10,66,NA,NA,NA
36,3417.8414319947,3622.25118047147,10,67,NA,NA,NA
37,3427.84115154188,3631.5539551171,10,68,NA,NA,NA
38,3437.68729132437,3640.73589669323,10,68,NA,NA,NA
39,3447.38297012578,3649.80664804349,10,69,NA,NA,NA
40,3456.9313414572,3658.75883340524,10,70,NA,NA,NA
41,3466.33558654573,3667.59615281069,10,71,NA,NA,NA
42,3475.59890734415,3676.32545160674,10,71,NA,NA,NA
43,3484.72451956802,3684.95941067821,10,72,NA,NA,NA
44,3493.71564576654,3693.48870194239,10,73,NA,NA,NA
45,3502.57550843365,3701.91644917883,10,74,NA,NA,NA
46,3511.30732316598,3710.24924118652,10,74,NA,NA,NA
47,3519.9142918744,3718.49929846039,10,75,NA,NA,NA
48,3528.39959605604,3726.65637822322,10,76,NA,NA,NA
49,3536.76639013362,3734.72289875944,10,77,NA,NA,NA
50,3545.01779486907,3742.71103277481,10,77,NA,NA,NA
51,3553.15689085835,3750.6215673919,10,78,NA,NA,NA
52,3561.18671211461,3758.44812684108,10,79,NA,NA,NA
53,3569.11023974638,3766.1974447819,10,79,NA,NA,NA
54,3576.93039573783,3773.8815428943,10,80,NA,NA,NA
55,3584.65003683786,3781.4866189611,10,81,NA,NA,NA
56,3592.27194856456,3789.02091371659,10,81,NA,NA,NA
57,3599.79883933181,3796.49417681857,10,82,NA,NA,NA
58,3607.23333470412,3803.89159502768,10,83,NA,NA,NA
59,3614.57797178595,3811.23119644582,10,83,NA,NA,NA
60,3621.83519375153,3818.48514938354,10,83,NA,NA,NA
61,3629.00734452075,3825.68573878269,10,84,NA,NA,NA
62,3636.09666358655,3832.83939182669,10,85,NA,NA,NA
63,3643.10528099901,3839.92175063748,10,85,NA,NA,NA
64,3650.0352125108,3846.95748203262,10,86,NA,NA,NA
65,3656.88835488876,3853.92101951868,10,86,NA,NA,NA
66,3663.66648139536,3860.84006004326,10,87,NA,NA,NA
67,3670.37123744431,3867.68968752832,10,87,NA,NA,NA
68,3677.00413643338,3874.50334580604,10,88,NA,NA,NA
69,3683.56655575781,3881.24250494996,10,88,NA,NA,NA
70,3690.05973300683,3887.92412244655,10,89,NA,NA,NA
71,3696.48476234592,3894.55478693618,10,89,NA,NA,NA
72,3702.84259108663,3901.11960411942,10,89,NA,NA,NA
73,3709.13401644583,3907.62360834847,10,90,NA,NA,NA
74,3715.35968249572,3914.08143743747,10,90,NA,NA,NA
75,3721.52007730577,3920.47510447028,10,90,NA,NA,NA
76,3727.61553027741,3926.81498513037,10,91,NA,NA,NA
77,3733.64620967207,3933.09961797282,10,91,NA,NA,NA
78,3739.61212033315,3939.32009582223,10,91,NA,NA,NA
79,3745.51310160193,3945.47644859539,10,91,NA,NA,NA
80,3751.34882542784,3951.57442238042,10,92,NA,NA,NA
81,3757.11879467307,3957.61450718744,10,92,NA,NA,NA
82,3762.82234161159,3963.58813780654,10,92,NA,NA,NA
83,3768.45862662268,3969.49456786066,10,92,NA,NA,NA
84,3774.02663707919,3975.33285568225,10,92,NA,NA,NA
85,3779.52518643082,3981.10186296777,10,92,NA,NA,NA
86,3784.95291348286,3986.80025366667,10,92,NA,NA,NA
87,3790.30828187103,3992.42649310734,10,92,NA,NA,NA
88,3795.58957973353,3997.98036188666,10,93,NA,NA,NA
89,3800.79491958128,4003.45891516446,10,93,NA,NA,NA
90,3805.92223836796,4008.85817620191,10,93,NA,NA,NA
91,3810.96929776184,4014.17580620832,10,93,NA,NA,NA
92,3815.9336846213,4019.40926775566,10,93,NA,NA,NA
93,3820.81281167695,4024.55767714307,10,92,NA,NA,NA
94,3825.60391842291,4029.61913160554,10,92,NA,NA,NA
95,3830.30407222066,4034.58898286927,10,92,NA,NA,NA
96,3834.9101696191,4039.46391000443,10,92,NA,NA,NA
97,3839.41893789439,4044.24039846016,10,92,NA,NA,NA
98,3843.82693681393,4048.91474201563,10,92,NA,NA,NA
99,3848.1305606287,4053.48304500994,10,92,NA,NA,NA
100,3852.32604029836,4057.94122485448,10,92,NA,NA,NA
101,3856.40944595385,4062.29326461152,10,91,NA,NA,NA
102,3860.37668960196,4066.5339028364,10,91,NA,NA,NA
103,3864.22352807659,4070.65244764434,10,91,NA,NA,NA
104,3867.94556624124,4074.64409561958,10,91,NA,NA,NA
105,3871.53826044693,4078.51336303278,10,90,NA,NA,NA
106,3874.9969222499,4082.25712168935,10,90,NA,NA,NA
107,3878.31672239279,4085.85991174203,10,90,NA,NA,NA
108,3881.49269505287,4089.33592866378,10,89,NA,NA,NA
109,3884.5197423602,4092.6653104762,10,89,NA,NA,NA
110,3887.39263918843,4095.83820016007,10,89,NA,NA,NA
111,3890.1060382201,4098.86578015045,10,88,NA,NA,NA
112,3892.65447528783,4101.73669350257,10,88,NA,NA,NA
113,3895.03237499202,4104.42856451634,10,87,NA,NA,NA
114,3897.23405659513,4106.97792647782,10,87,NA,NA,NA
115,3899.25374019162,4109.34501997352,10,86,NA,NA,NA
116,3901.08555315206,4111.55218593752,10,86,NA,NA,NA
117,3902.72353683899,4113.56571933145,10,85,NA,NA,NA
