"Ls","H_horiz","H_best","beta_best","gamma_c_best"
1,2136.1523195153,2182.72855160032,15,29
2,2150.91783268932,2197.21084755536,15,30
3,2165.52726055355,2211.51902719911,15,30
4,2179.97770610951,2225.64155057002,15,30
5,2194.26651773968,2239.57603520404,15,30
6,2208.39128520694,2253.32037588697,15,30
7,2222.34983529482,2266.87953670458,15,31
8,2236.14022711779,2280.2487438963,15,31
9,2249.76074713098,2293.42923218918,15,32
10,2263.20990386847,2306.42021986837,15,32
11,2276.48642243944,2319.21478011214,15,32
12,2289.58923881084,2331.81907154758,15,33
13,2302.5174939048,2344.2308757715,15,33
14,2315.2705275384,2356.44532614367,15,33
15,2327.84787223261,2368.47398872156,15,34
16,2340.24924456163,2380.30701223371,15,34
17,2352.47454781205,2391.9470873464,15,35
18,2364.52385251839,2403.403368051,15,35
19,2376.39739836387,2414.66290850659,15,35
20,2388.09558567999,2425.74073222282,15,36
21,2399.61896897062,2436.62736697192,15,36
22,2410.96825045941,2447.33083324141,15,37
23,2422.14427367686,2457.84398922834,15,37
24,2433.1480171015,2468.22216744017,15,42
25,2443.98058786795,2478.44365028776,15,42
26,2454.64321555303,2488.4815762842,15,42
27,2465.13724604915,2498.3954906811,15,41
28,2475.46413553267,2508.0573979119,15,41
29,2485.62544453303,2517.54222400156,15,41
30,2495.62283210693,2526.85237777104,15,41
31,2505.45805011984,2535.96042159489,15,40
32,2515.13293763604,2544.91393625264,15,40
33,2524.6494154163,2553.70061264922,15,40
34,2534.00948052118,2562.22259961949,15,39
35,2543.2152010164,2570.67426448303,15,45
36,2552.26871077558,2579.05476660544,15,45
37,2561.17220437418,2587.27980083798,15,45
38,2569.92793206776,2595.36677791289,15,46
39,2578.53819484648,2603.31434482347,15,47
40,2587.00533955708,2611.1236995122,15,47
41,2595.33175408283,2618.78973752114,15,47
42,2603.51986257148,2626.33788679827,15,49
43,2611.57212070086,2633.77121976243,15,50
44,2619.49101097144,2641.08660196686,15,51
45,2627.27903801546,2648.29048119951,15,53
46,2634.93872391163,2655.38873125644,15,53
47,2642.47260349561,2662.37064120902,15,54
48,2649.88321965595,2669.24863449042,15,55
49,2657.17311860633,2676.01612090518,15,55
50,2664.34484512542,2682.69256385172,15,57
51,2671.40093775657,2689.28795549952,15,59
52,2678.34392396034,2695.79145773945,15,60
53,2685.17631521424,2702.20258123236,15,61
54,2691.9006020551,2708.53917549971,15,63
55,2698.51924906064,2714.80146526023,15,64
56,2705.03468976845,2720.98883491299,15,66
57,2711.44932153187,2727.10783924165,15,67
58,2717.76550031371,2733.16099802414,15,69
59,2723.98553542031,2739.14990567404,15,71
60,2730.11168418011,2745.07830096164,15,73
61,2736.14614657209,2750.94943469711,15,74
62,2742.09105981137,2756.76447074787,15,76
63,2747.9484929003,2762.5242571541,15,78
64,2753.72044115516,2768.22861517134,15,80
65,2759.40882071964,2773.87849192068,15,82
66,2765.01546307766,2779.47184723478,15,84
67,2770.54210957928,2785.00901842242,15,85
68,2775.9904059943,2790.48972188064,15,88
69,2781.3618971092,2795.91555453242,15,88
70,2786.65802138386,2801.27255807974,15,89
71,2791.88010568502,2806.56059471327,15,91
72,2797.02936011399,2811.80286967756,15,93
73,2802.10687294641,2816.97765678199,15,93
74,2807.11360570228,2822.07690369842,15,93
75,2812.05038836403,2827.11023770546,15,94
76,2816.91791476102,2832.07462974597,15,95
77,2821.71673813796,2836.96807897969,15,95
78,2826.44726692488,2841.78765729688,15,95
79,2831.10976072573,2846.53059592037,15,97
80,2835.70432654196,2851.21542148084,15,97
81,2840.23091524715,2855.82716501066,15,98
82,2844.68931832777,2860.36790632161,15,98
83,2849.07916490456,2864.83296373614,15,98
84,2853.39991904824,2869.22298896018,15,99
85,2857.65087740228,2873.53806281486,15,99
86,2861.83116712477,2877.77477164414,15,99
87,2865.93974416036,2881.93205515413,15,99
88,2869.97539185252,2886.00867528343,15,99
89,2873.93671990517,2890.00321509772,15,99
90,2877.82216370218,2893.91407806418,15,99
91,2881.62998399176,2897.7394877132,15,99
92,2885.35826694231,2901.47748769414,15,99
93,2889.00492457481,2905.1259422307,15,99
94,2892.56769557614,2908.68253698033,15,99
95,2896.04414649645,2912.14478030103,15,99
96,2899.43167333262,2915.51000492778,15,99
97,2902.72750349878,2918.77794734615,15,98
98,2905.92869818349,2921.94480880224,15,98
99,2909.03215509214,2925.00620558829,15,98
100,2912.0346115716,2927.96322757808,15,97
101,2914.93264811311,2930.81006007134,15,97
102,2917.72269222775,2933.55847505653,15,95
103,2920.40102268766,2936.18575075393,15,95
104,2922.96377412468,2938.69107970345,15,95
105,2925.40694197671,2941.07386885357,15,94
106,2927.72638777071,2943.33261129597,15,93
107,2929.91784473004,2945.46692151424,15,93
108,2931.97692369226,2947.46320701127,15,93
109,2933.89911932261,2949.32638417668,15,91
110,2935.67981660718,2951.07589322581,15,89
111,2937.31429760847,2952.68398613271,15,88
112,2938.79774846578,2954.14742575179,15,88
113,2940.12526662127,2955.47768594476,15,85
114,2941.29186825277,2956.66988176968,15,84
115,2942.2924958933,2957.72116477092,15,82
116,2943.12202621748,2958.62807609423,15,80
117,2943.77527797451,2959.3897534928,15,78
118,2944.24702004786,2960.00220303828,15,76
119,2944.53197962176,2960.46269126971,15,74
120,2944.62485043524,2960.76743975026,15,73
121,2944.5203011049,2960.91238376648,15,71
122,2944.21298349857,2960.89125255499,15,69
123,2943.69754114272,2960.69728357352,15,67
124,2942.96861764765,2960.32608395276,15,66
125,2942.02086513567,2959.77231152855,15,64
126,2940.84895265871,2959.02626992331,15,63
127,2939.44757459319,2958.08613328588,15,61
128,2937.81145900136,2956.9492419459,15,60
129,2935.93537594983,2955.59364866342,15,59
130,2933.81414577752,2954.01753530513,15,57
131,2931.44264730656,2952.2305967839,15,55
132,2928.81582599148,2950.2196874988,15,55
133,2925.92870200307,2947.96118763118,15,54
134,2922.77637824492,2945.46032070624,15,53
135,2919.35404830177,2942.7013368206,15,53
136,2915.65700432017,2939.69424509882,15,51
137,2911.68064482282,2936.43075092089,15,50
138,2907.42048245892,2932.90198231607,15,49
139,2902.8721516939,2929.10984818524,15,47
140,2898.03141644226,2925.04943754729,15,47
141,2892.89417764787,2920.69084948164,15,47
142,2887.45648081648,2916.03843417924,15,46
143,2881.7145235051,2911.08960409322,15,45
144,2875.66466277325,2905.84475857577,15,45
145,2869.30342260049,2900.28325661324,15,45
146,2862.62750127459,2894.4993830684,15,39
147,2855.63377875389,2888.49362045111,15,40
148,2848.319324007,2882.04549115251,15,40
149,2840.68140233159,2875.26490668204,15,40
150,2832.71748265381,2868.16533913274,15,41
151,2824.42524480772,2860.69239755276,15,41
152,2815.80258679367,2852.87692416828,15,41
153,2806.84763201261,2844.71604089722,15,41
154,2797.55873647198,2836.12434188932,15,42
155,2787.9344959572,2827.2477216978,15,42
156,2777.97375316095,2818.01861207229,15,42
157,2767.67560476098,2808.46806824159,15,37
158,2757.0394084348,2798.62148804259,15,37
159,2746.06478979853,2788.41628809569,15,36
160,2734.75164925461,2777.8613669777,15,36
161,2723.10016873171,2766.94839765082,15,35
162,2711.11081829827,2755.68921198138,15,35
163,2698.78436262906,2744.06768888126,15,35
164,2686.1218673029,2732.09989547633,15,34
165,2673.12470722594,2719.776671489,15,34
166,2659.79456290971,2707.09638105863,15,33
167,2646.13344107489,2694.07191493666,15,33
168,2632.14366964874,2680.69167337978,15,33
169,2617.82790553599,2666.96304904959,15,32
170,2603.18913935561,2652.8905060414,15,32
171,2588.23069981517,2638.46898127962,15,32
172,2572.95625769101,2623.70856869835,15,31
