Ls,H_horiz,H_best,beta_best,gamma_c_best
1,2496.22322716319,2550.91924096383,5,41
2,2512.00611917522,2566.66045198848,5,41
3,2527.61233170018,2582.21863380645,5,42
4,2543.03954489238,2597.58482408267,5,42
5,2558.28569622167,2612.76438067928,5,43
6,2573.34897420696,2627.74840017077,5,43
7,2588.22781187195,2642.54378068338,5,44
8,2602.92087995711,2657.14129765333,5,45
9,2617.42707992171,2671.54819651042,5,45
10,2631.74553676902,2685.75708369436,5,46
11,2645.87559172695,2699.77280729339,5,46
12,2659.81679481546,2713.59226978269,5,47
13,2673.56889733098,2727.21635041666,5,47
14,2687.13184427681,2740.64726389011,5,48
15,2700.5057667671,2753.88098159572,5,49
16,2713.69097443041,2766.92563137652,5,49
17,2726.68794638583,2779.77540837897,5,50
18,2739.49732940696,2792.43419680429,5,50
19,2752.11992212522,2804.90413373274,5,51
20,2764.5566730887,2817.18288527341,5,52
21,2776.80867217173,2829.27741320212,5,52
22,2788.87714342873,2841.18538581835,5,53
23,2800.76343808089,2852.90775536213,5,53
24,2812.46902764682,2864.45177623843,5,54
25,2823.99549722637,2875.81430597091,5,55
26,2835.34453894493,2886.99828165881,5,55
27,2846.51794556315,2898.01047657226,5,56
28,2857.5176042556,2908.84770626078,5,57
29,2868.34549055944,2919.51245494982,5,58
30,2879.00366249268,2930.01262594234,5,58
31,2889.49425483967,2940.34536690543,5,59
32,2899.81947359972,2950.5133014181,5,60
33,2909.98159059337,2960.52331676239,5,60
34,2919.98293821895,2970.37480335555,5,61
35,2929.82590435116,2980.069574153,5,62
36,2939.51292737168,2989.61309814822,5,62
37,2949.04649132105,2999.007732191,5,63
38,2958.42912116004,3008.25399820846,5,64
39,2967.66337812764,3017.35578733569,5,64
40,2976.7518551826,3026.31868172133,5,65
41,2985.69717251454,3035.14166668231,5,66
42,2994.50197311063,3043.82756265089,5,67
43,3003.16891836351,3052.38370910546,5,67
44,3011.70068370629,3060.80878871229,5,68
45,3020.09995426056,3069.10516201648,5,69
46,3028.36942048381,3077.27919683468,5,69
47,3036.5117738031,3085.33150696134,5,70
48,3044.52970222276,3093.26329125219,5,71
49,3052.4258858944,3101.08069820164,5,71
50,3060.20299263898,3108.78475388145,5,72
51,3067.86367341146,3116.37614545673,5,73
52,3075.41055770008,3123.86180157552,5,73
53,3082.84624885378,3131.24111739421,5,74
54,3090.17331933243,3138.51570403972,5,74
55,3097.3943058766,3145.69298690564,5,75
56,3104.51170459501,3152.76969131116,5,76
57,3111.52796596946,3159.75180893979,5,76
58,3118.44548977901,3166.64045458154,5,77
59,3125.26661994678,3173.43665176373,5,77
60,3131.9936393145,3180.14594445321,5,78
61,3138.62876435176,3186.76543030754,5,78
62,3145.17413980844,3193.30340384691,5,79
63,3151.6318333206,3199.75473579047,5,79
64,3158.00382998128,3206.12866675423,5,80
65,3164.2920268896,3212.41966265343,5,80
66,3170.49822769215,3218.63598449237,5,81
67,3176.62413713254,3224.77363424011,5,81
68,3182.67135562537,3230.8378515712,5,82
69,3188.64137387202,3236.82822903647,5,82
70,3194.53556753644,3242.74483314201,5,83
71,3200.35519199921,3248.59300957947,5,83
72,3206.10137720903,3254.36880995651,5,83
73,3211.77512265051,3260.07535636921,5,84
74,3217.37729244743,3265.7147853834,5,84
75,3222.90861062034,3271.28452320483,5,84
76,3228.36965651716,3276.78558245446,5,85
77,3233.76086043509,3282.22209582348,5,85
78,3239.08249945144,3287.59021804673,5,85
79,3244.33469348043,3292.89015347736,5,85
80,3249.51740157248,3298.12193827771,5,85
81,3254.63041847141,3303.2876968441,5,86
82,3259.67337144433,3308.38532302676,5,86
83,3264.64571739819,3313.41355283797,5,86
84,3269.54674029585,3318.37171319512,5,86
85,3274.37554888391,3323.25894770076,5,86
86,3279.13107474342,3328.07421455244,5,86
87,3283.81207067375,3332.81628479887,5,86
88,3288.41710941924,3337.48374095231,5,86
89,3292.94458274696,3342.07497596598,5,86
90,3297.39270088349,3346.58819258494,5,86
91,3301.75949231755,3351.02140307734,5,86
92,3306.0428039743,3355.37242935257,5,86
93,3310.24030176674,3359.63890347176,5,86
94,3314.34947152813,3363.81826855499,5,86
95,3318.36762032896,3367.90778008881,5,86
96,3322.29187818062,3371.90450763671,5,86
97,3326.11920012713,3375.80533695369,5,86
98,3329.84636872504,3379.60697250553,5,86
99,3333.4699969106,3383.30594039166,5,86
100,3336.9865312519,3386.89938423882,5,85
101,3340.39225558246,3390.38533517007,5,85
102,3343.68329501136,3393.75748990255,5,85
103,3346.85562030368,3397.01169709058,5,85
