"Ls","H_horiz","H_best","beta_best","gamma_c_best"
1,1458.7572265095,1460.27012174899,5,19
2,1470.38786332826,1471.90823511623,5,19
3,1481.91972856472,1483.44590153753,5,19
4,1493.34906460685,1494.87934017595,5,19
5,1504.67228738037,1506.20494702909,5,19
6,1515.88598886371,1517.41947592689,5,20
7,1526.98693925036,1528.51970585516,5,20
8,1537.97208875694,1539.50238940182,5,20
9,1548.83856907604,1550.36465607814,5,20
10,1559.5836944736,1561.10396232132,5,21
11,1570.20496253283,1571.71797170863,5,21
12,1580.70005454539,1582.20406419126,5,21
13,1591.06683555362,1592.56011068779,5,21
14,1601.30335404684,1602.78440115701,5,22
15,1611.40784131667,1612.87519945642,5,22
16,1621.37871047629,1622.8306913887,5,22
17,1631.21455514962,1632.64955197453,5,23
18,1640.91414783769,1642.33097025375,5,23
19,1650.47643796869,1651.87346944685,5,23
20,1659.90054964073,1661.27624884674,5,24
21,1669.18577906508,1670.53909353269,5,24
22,1678.3315917198,1679.66099951173,5,24
23,1687.33761922302,1688.64182112345,5,25
24,1696.20365593621,1697.48160168859,5,25
25,1704.92965530831,1706.17993791691,5,25
26,1713.5157259713,1714.73746028283,5,26
27,1721.96212759904,1723.15412876798,5,26
28,1730.26926654077,1731.43053886268,5,27
29,1738.43769124138,1739.56737102579,5,27
30,1746.46808746054,1747.56516998194,5,28
31,1754.36127330299,1755.42512454846,5,28
32,1762.11819407273,1763.14790058074,5,29
33,1769.73991696302,1770.73498201783,5,29
34,1777.22762559584,1778.18732525451,5,30
35,1784.58261442215,1785.50649676333,5,30
36,1791.80628299648,1792.69390904149,5,31
37,1798.90013013793,1799.7510009315,5,31
38,1805.86574798997,1806.67980138815,5,32
39,1812.70481599105,1813.48169849513,5,33
40,1819.4190947684,1820.15864293951,5,33
41,1826.01041996663,1826.71276001898,5,34
42,1832.48069602214,1833.14579525068,5,35
43,1838.83188989562,1839.45983744407,5,36
44,1845.06602477239,1845.65702916876,5,37
45,1851.18517374187,1851.73964183054,5,37
46,1857.19145346612,1857.70980854536,5,38
47,1863.08701784745,1863.56975838417,5,39
48,1868.87405170402,1869.32178345984,5,40
49,1874.55476446344,1874.9681964015,5,41
50,1880.13138388191,1880.5113891386,5,43
51,1885.60614979806,1885.95372974937,5,44
52,1890.98003711976,1891.29749402012,5,45
53,1896.25765849673,1896.54508986465,5,47
54,1901.44013770154,1901.69898361275,5,48
55,1906.52970018056,1906.76149775029,5,50
56,1911.52855306332,1911.73502082172,5,52
57,1916.4388793003,1916.62196811537,5,54
58,1921.26283188489,1921.42469276732,5,56
59,1926.00252816485,1926.1456732189,5,59
