"Ls","H_horiz","H_best","beta_best","gamma_c_best"
1,2921.24581267562,2960.8967926693,-10,-83
2,2910.36682677546,2950.03018521753,-10,-81
3,2899.35105400602,2939.05555461492,-10,-80
4,2888.20368642263,2927.97116542272,-10,-79
5,2876.93033750331,2916.78725820189,-10,-77
6,2865.53697405867,2905.50412553088,-10,-76
7,2854.02986311538,2894.12617671385,-10,-75
8,2842.33847328406,2882.66350982271,-10,-73
9,2830.70071558972,2871.11709338081,-10,-72
10,2818.89235857008,2859.49256665601,-10,-71
11,2806.99755549349,2847.79595027305,-10,-70
12,2795.0235438258,2836.03618891165,-10,-68
13,2782.97767977678,2824.21791894293,-10,-67
14,2770.86741968363,2812.34565190438,-10,-66
15,2758.7003033084,2800.42574333821,-10,-65
16,2746.48393880065,2788.48016491333,-10,-64
17,2734.22598913025,2776.48380362218,-10,-63
18,2721.93415983312,2764.45917094049,-10,-62
19,2709.61618794004,2752.41308027141,-10,-62
20,2697.27983197882,2740.35437364362,-10,-61
21,2684.93286295486,2728.28773030133,-10,-60
22,2672.58305622664,2716.21974242294,-10,-59
23,2660.238184201,2704.15701153363,-10,-58
24,2647.90600977993,2692.10614502595,-10,-57
25,2635.59428049608,2680.0789517738,-10,-57
26,2623.31072327802,2668.07836339415,-10,-56
27,2611.06303979039,2656.11178858074,-10,-55
28,2598.85890229652,2644.18652309179,-10,-55
29,2586.70594999419,2632.31238509195,-10,-54
30,2574.61178577698,2620.48941968514,-10,-53
31,2562.58397337622,2608.73274040314,-10,-53
32,2550.63003484006,2597.04702213981,-10,-52
33,2538.75744830836,2585.43499202857,-10,-52
34,2526.97364604359,2573.91246291942,-10,-51
35,2515.28601267977,2562.47904543395,-10,-50
36,2503.70188365334,2551.14563189101,-10,-50
37,2492.22854378118,2539.91488129201,-10,-49
38,2480.87322595304,2528.79899188394,-10,-49
39,2469.64310990721,2517.79963448204,-10,-48
40,2458.54532105993,2506.93003873951,-10,-48
41,2447.58692936089,2496.18927682152,-10,-47
42,2436.77494814876,2485.59439238792,-10,-47
43,2426.1163329826,2475.14224174022,-10,-47
44,2415.61798042661,2464.84777723946,-10,-46
45,2405.28672676753,2454.71281356515,-10,-46
46,2395.12934664572,2444.74445240252,-10,-45
47,2385.15255158273,2434.95568374301,-10,-45
48,2375.36298838993,2425.34307760609,-10,-45
49,2365.76723744439,2415.92086974902,-10,-44
50,2356.37181082018,2406.69310980518,-10,-44
51,2347.18315026464,2397.66352707686,-10,-44
52,2338.20762501109,2388.84561874345,-10,-43
53,2329.45152942107,2380.24043058499,-10,-43
54,2320.92108045064,2371.8531754932,-10,-43
55,2312.6224149371,2363.69346306645,-10,-42
56,2304.56158670386,2355.76856851835,-10,-42
57,2296.74456348274,2348.08066236123,-10,-42
58,2289.17722365447,2340.63599686303,-10,-42
59,2281.86535280952,2333.44517115044,-10,-41
60,2274.81464013271,2326.5114948233,-10,-41
61,2268.03067461645,2319.83901398094,-10,-41
62,2261.51894110856,2313.43357750486,-10,-41
63,2255.28481620197,2307.30300549019,-10,-40
64,2249.33356397444,2301.45400421363,-10,-40
65,2243.67033158778,2295.88868697635,-10,-40
