Ls,H_horiz,H_best,beta_best,gamma_c_best
1,3153.64307674908,3225.80885791552,-10,-84
2,3141.98215480353,3214.07820373967,-10,-83
3,3130.18619430625,3202.24336593908,-10,-81
4,3118.26052258048,3190.31316334231,-10,-80
5,3106.21090910176,3178.28678439305,-10,-79
6,3094.04349366719,3166.16939206668,-10,-78
7,3081.76473054867,3153.96639548446,-10,-77
8,3069.38134316252,3141.6834087696,-10,-76
9,3056.90028622002,3129.32952206068,-10,-74
10,3044.27025002368,3116.90687014042,-10,-73
11,3031.62597203952,3104.42131830182,-10,-72
12,3018.94346633622,3091.87899106138,-10,-71
13,3006.14485953921,3079.28625588249,-10,-70
14,2993.28583094537,3066.6521575675,-10,-69
15,2980.37417020359,3053.98020407519,-10,-68
16,2967.4177393079,3041.27677759756,-10,-67
17,2954.42445844378,3028.54829942026,-10,-66
18,2941.40229319411,3015.80122182944,-10,-65
19,2928.35924296974,3003.04202115812,-10,-64
20,2915.3033305516,2990.30136804379,-10,-64
21,2902.24259264635,2977.54245233824,-10,-63
22,2889.18507137035,2964.79176147074,-10,-62
23,2876.13880658503,2952.05581692407,-10,-61
24,2863.11182901434,2939.34114016772,-10,-60
25,2850.11215408016,2926.66220314204,-10,-60
26,2837.14777639608,2914.01910916566,-10,-59
27,2824.22666486354,2901.41764373151,-10,-58
28,2811.3567583173,2888.86697291129,-10,-58
29,2798.54596166972,2876.38251074588,-10,-57
30,2785.80214250561,2863.95989916994,-10,-56
31,2773.13312808151,2851.61160549672,-10,-56
32,2760.54670268476,2839.34571634123,-10,-55
33,2748.05060530991,2827.16115827374,-10,-55
34,2735.65252761129,2815.07864511566,-10,-54
35,2723.36011209243,2803.0950594771,-10,-53
36,2711.1809504945,2791.22298593892,-10,-53
37,2699.12258234753,2779.4660927107,-10,-52
38,2687.19249364995,2767.83285511168,-10,-52
39,2675.3981156433,2756.33196125244,-10,-51
40,2663.74682365085,2744.96800073661,-10,-51
41,2652.24593595059,2733.75386938177,-10,-50
42,2640.90271265434,2722.68746110534,-10,-50
43,2629.72435456699,2711.7787524222,-10,-49
44,2618.71800200103,2701.0390454853,-10,-49
45,2607.89073352393,2690.46624097286,-10,-48
46,2597.24956461691,2680.08165988039,-10,-48
47,2586.8014462263,2669.8782962412,-10,-48
48,2576.5532631896,2659.87127108115,-10,-47
49,2566.51183252088,2650.06567927436,-10,-47
50,2556.68390154145,2640.46249276251,-10,-47
51,2547.07614584375,2631.08069848981,-10,-46
52,2537.69516707814,2621.91633255283,-10,-46
53,2528.54749055405,2612.97918927149,-10,-45
54,2519.63956264861,2604.28049743563,-10,-45
55,2510.97774801777,2595.8185120449,-10,-45
56,2502.56832660637,2587.59999651598,-10,-45
57,2494.4174904557,2579.64028689046,-10,-44
58,2486.53134030813,2571.93911108715,-10,-44
59,2478.91588201056,2564.50328592479,-10,-44
60,2471.57702271969,2557.3365289444,-10,-43
61,2464.52056691357,2550.45259546421,-10,-43
62,2457.75221221551,2543.85002725927,-10,-43
63,2451.2775450377,2537.53487398792,-10,-43
64,2445.10203605324,2531.51306269141,-10,-43
65,2439.23103550657,2525.79835959138,-10,-42
66,2433.6697683734,2520.38824523588,-10,-42
67,2428.42332938246,2515.28813945608,-10,-42
68,2423.49667791239,2510.50342273306,-10,-42
69,2418.89463277799,2506.03932349991,-10,-42
70,2414.62186692097,2501.90628942506,-10,-41
71,2410.68290202119,2498.10459469766,-10,-41
72,2407.08210304493,2494.63791321061,-10,-41
73,2403.82367274752,2491.51080364224,-10,-41
74,2400.91164614794,2488.72764099208,-10,-41
75,2398.3498849937,2486.29261020916,-10,-41
76,2396.14207223425,2484.20969985199,-10,-41
77,2394.29170652184,2482.48601099749,-10,-40
78,2392.80209675845,2481.12239659927,-10,-40
79,2391.67635670766,2480.12131838492,-10,-40
80,2390.91740061038,2479.48591775851,-10,-40
81,2390.52793429651,2479.21910912012,-10,-40
82,2390.51045563994,2479.32357414744,-10,-40
83,2390.86724591879,2479.80175625446,-10,-40
84,2391.60036595262,2480.65585524669,-10,-40
85,2392.71165148711,2481.88782219159,-10,-40
86,2394.20270876731,2483.49935452231,-10,-40
87,2396.07491031501,2485.49189139191,-10,-40
88,2398.32939092477,2487.86660929436,-10,-40
89,2400.96704389238,2490.62441796757,-10,-40
90,2403.98851748823,2493.76595659245,-10,-40
91,2407.39421168766,2497.29159030133,-10,-40
92,2411.18427516856,2501.20140700709,-10,-40
93,2415.35860258577,2505.4952145638,-10,-40
94,2419.91683213061,2510.17253826778,-10,-40
95,2424.85834338245,2515.23261870696,-10,-40
96,2430.18225545821,2520.67440996471,-10,-40
97,2435.88742546412,2526.49657818319,-10,-40
98,2441.97244725317,2532.6975004895,-10,-40
99,2448.43565048985,2539.27526428665,-10,-40
100,2455.27510002309,2546.22766690987,-10,-40
101,2462.48859461397,2553.55221564717,-10,-40
102,2470.07367072447,2561.24612812194,-10,-40
103,2478.02759711209,2569.30633303364,-10,-40
104,2486.34737920325,2577.73040596837,-10,-41
105,2495.02975902626,2586.51754313788,-10,-41
106,2504.07121637487,2595.66038642172,-10,-41
107,2513.46797024973,2605.15472639815,-10,-41
108,2523.21598056902,2614.9960736212,-10,-41
109,2533.31095013862,2625.17966134542,-10,-41
110,2543.7483268715,2635.7004485467,-10,-41
111,2554.52330624498,2646.55424485969,-10,-42
112,2565.63083398418,2657.74038350862,-10,-42
113,2577.06560895915,2669.24735995824,-10,-42
114,2588.82208628293,2681.06907521622,-10,-42
115,2600.89448059724,2693.19917504184,-10,-42
116,2613.27676953247,2705.63116833272,-10,-43
117,2625.96269732841,2718.36697388738,-10,-43
118,2638.94577860202,2731.39100738762,-10,-43
119,2652.21930224894,2744.69594369521,-10,-43
120,2665.77633546548,2758.27422654212,-10,-43
121,2679.60972787808,2772.1263161886,-10,-44
122,2693.71211576799,2786.23616450958,-10,-44
123,2708.07592637927,2800.5984508912,-10,-44
124,2722.69338229892,2815.20440886603,-10,-45
125,2737.55650589901,2830.05289927058,-10,-45
126,2752.65712383126,2845.12569575045,-10,-45
127,2767.98687156593,2860.41378245724,-10,-45
128,2783.53719796776,2875.91738215865,-10,-46
129,2799.29936990313,2891.62244068169,-10,-46
130,2815.264476874,2907.51635503734,-10,-47
131,2831.42343567539,2923.60158846662,-10,-47
132,2847.76699507515,2939.85524194307,-10,-47
133,2864.28574051596,2956.27418331346,-10,-48
134,2880.97009884158,2972.85067625298,-10,-48
135,2897.81034305079,2989.56578222322,-10,-48
136,2914.79659708474,3006.42505697735,-10,-49
