Ls,H_horiz,H_best,beta_best,gamma_c_best
1,3059.13788641489,3347.91224007043,10,46
2,3075.81135415312,3363.36597009796,10,47
3,3092.296852235,3378.62900260308,10,47
4,3108.59194279605,3393.69158186876,10,48
5,3124.69443824499,3408.53592853609,10,48
6,3140.60239814147,3423.18535367277,10,49
7,3156.31412588978,3437.60873630112,10,49
8,3171.82816524985,3451.84320095961,10,50
9,3187.14329666629,3465.85078662423,10,51
10,3202.25853341586,3479.67194261435,10,51
11,3217.17311757335,3493.27375927366,10,52
12,3231.88651579582,3506.67823156195,10,52
13,3246.39841492468,3519.88013394468,10,53
14,3260.70871740524,3532.87259294164,10,53
15,3274.81753652338,3545.68498057594,10,54
16,3288.72519145882,3558.28683322826,10,55
17,3302.43220215502,3570.70611436634,10,55
18,3315.93928400558,3582.93332219994,10,56
19,3329.24734235778,3594.95767072632,10,57
20,3342.35746683381,3606.81776880243,10,57
21,3355.27092547113,3618.48950925521,10,58
22,3367.98915868375,3629.97297243892,10,59
23,3380.51377304664,3641.30095227594,10,59
24,3392.84653490656,3652.4498869243,10,60
25,3404.98936382275,3663.43330769986,10,61
26,3416.9443186126,3674.25684100606,10,61
27,3428.71361719361,3684.90690041854,10,62
28,3440.29959218269,3695.4045548441,10,63
29,3451.70470704574,3705.7539763488,10,63
30,3462.93154327444,3715.96268163134,10,64
31,3473.98279292402,3726.02145385824,10,65
32,3484.86125102844,3735.93462093567,10,66
33,3495.56980790289,3745.72318296375,10,66
34,3506.11144134435,3755.37959936975,10,67
35,3516.48920874196,3764.93046081958,10,68
36,3526.70623910926,3774.32656674522,10,69
37,3536.76572505134,3783.61491305424,10,69
38,3546.67091468045,3792.78589900583,10,70
39,3556.42510349411,3801.84019532648,10,71
40,3566.03162623034,3810.78166976466,10,72
41,3575.49384871504,3819.63023800723,10,72
42,3584.81515971669,3828.37641844917,10,73
43,3593.99896282418,3836.99859038715,10,73
44,3603.04866836326,3845.53545065138,10,75
45,3611.96768536744,3854.00274929042,10,75
46,3620.75941361925,3862.37890418148,10,76
47,3629.42723577713,3870.66495838602,10,77
48,3637.97450960367,3878.89898390126,10,77
49,3646.40456030983,3887.03405123881,10,78
50,3654.7206730301,3895.08624120603,10,79
51,3662.92608544227,3903.05736146701,10,80
52,3671.02398054545,3910.97136161027,10,80
53,3679.01747960886,3918.80995255129,10,81
54,3686.90963530329,3926.57229910984,10,82
55,3694.70342502622,3934.28479820039,10,82
56,3702.40174443047,3941.92521089041,10,83
57,3710.00740116556,3949.47014502446,10,83
58,3717.52310883942,3956.99532557137,10,84
