"Ls","H_horiz","H_best","beta_best","gamma_c_best"
1,2666.00266051159,2804.31550775316,10,41
2,2682.13462381332,2820.02666739259,10,41
3,2698.08375533135,2835.53915872207,10,42
4,2713.8478555598,2850.83981654456,10,42
5,2729.42498302782,2865.93410408905,10,43
6,2744.8134480325,2880.81903037785,10,43
7,2760.01180613033,2895.49531720297,10,44
8,2775.01885141718,2909.96226156771,10,44
9,2789.8336096259,2924.2211322057,10,45
10,2804.45533107029,2938.26986034576,10,45
11,2818.88348346301,2952.09346501264,10,46
12,2833.11774463402,2965.72538180015,10,46
13,2847.15799517529,2979.15788030133,10,47
14,2861.00431103601,2992.37659375687,10,47
15,2874.65695609148,3005.40445027857,10,48
16,2888.11637470728,3018.22248659461,10,49
17,2901.38318431903,3030.84687956865,10,49
18,2914.45816804659,3043.27686035367,10,50
19,2927.34226735965,3055.50466557754,10,51
20,2940.03657481049,3067.55016585883,10,51
21,2952.54232593279,3079.4004698512,10,52
22,2964.86089593842,3091.06102145395,10,52
23,2976.99378694378,3102.54463872805,10,53
24,2988.94262498601,3113.84138102744,10,54
25,3000.70915229347,3124.95865277714,10,54
26,3012.29522065775,3135.90698885842,10,55
27,3023.70278493594,3146.67885026827,10,56
28,3034.93389668578,3157.2781573781,10,56
29,3045.99069793469,3167.72122574064,10,57
30,3056.8754150822,3177.99868089611,10,58
31,3067.59035293408,3188.12340999582,10,59
32,3078.137888865,3198.08591855378,10,59
33,3088.52046710538,3207.90224625941,10,60
34,3098.74059314703,3217.56785005657,10,61
35,3108.80082826106,3227.07681013798,10,62
36,3118.70378412066,3236.45410692784,10,62
37,3128.45211752064,3245.70079886581,10,63
38,3138.04852518476,3254.82788769362,10,64
39,3147.49573865149,3263.80609082142,10,65
40,3156.79651922837,3272.65541063611,10,66
41,3165.95365300476,3281.38300353694,10,66
42,3174.96994591277,3289.9930509654,10,67
43,3183.84821882605,3298.48424451553,10,68
44,3192.59130268615,3306.85982681243,10,69
45,3201.20203364668,3315.12292634351,10,70
46,3209.68324822551,3323.28141280966,10,70
47,3218.03777845621,3331.33651348704,10,71
48,3226.26844702999,3339.28785940401,10,72
49,3234.37806242092,3347.13811499005,10,73
50,3242.36941398715,3354.89003467946,10,73
51,3250.24526704283,3362.5544272395,10,74
52,3258.00835789552,3370.12513235989,10,75
53,3265.66138884582,3377.6042621709,10,76
54,3273.20702314659,3384.99422771444,10,76
55,3280.64787992085,3392.30634984252,10,77
56,3287.98652903832,3399.53272797419,10,78
57,3295.22548595232,3406.6748446977,10,79
58,3302.36720649983,3413.74210495752,10,79
59,3309.41408166891,3420.73215465895,10,80
60,3316.36843233911,3427.64198063916,10,81
61,3323.23250400176,3434.48312704696,10,81
62,3330.00846146805,3441.24951405981,10,82
63,3336.69838357452,3447.94164316378,10,82
64,3343.3042578961,3454.56937745156,10,83
65,3349.82797547815,3461.11952091185,10,83
66,3356.27132560004,3467.59254082875,10,84
67,3362.63599058307,3474.00907366887,10,85
68,3368.92354065688,3480.3664316059,10,85
69,3375.13542889846,3486.65006857991,10,86
70,3381.27298625871,3492.87752701836,10,86
71,3387.3374166916,3499.04268307154,10,87
72,3393.32979240117,3505.14345594045,10,87
73,3399.25104922171,3511.17405928964,10,87
74,3405.10198214631,3517.13820440868,10,88
75,3410.88324101877,3523.04475405123,10,88
76,3416.59532640372,3528.88299319696,10,88
77,3422.2385856491,3534.65402655928,10,89
78,3427.813209155,3540.36794157527,10,89
79,3433.31922686215,3546.01384156267,10,89
80,3438.75650497269,3551.59173520825,10,89
81,3444.12474291547,3557.10144885996,10,89
82,3449.4234705672,3562.5426233511,10,89
83,3454.6520457402,3567.91834901423,10,90
84,3459.80965194699,3573.22642360227,10,90
85,3464.89529645091,3578.46286752037,10,90
86,3469.9078086117,3583.62654750703,10,90
87,3474.84583853414,3588.71613394512,10,90
88,3479.70785602712,3593.73009959467,10,90
89,3484.49214988016,3598.66671867382,10,90
90,3489.1968274636,3603.52406629521,10,90
91,3493.81981465823,3608.30001826411,10,90
92,3498.35885611939,3612.99225124427,10,90
93,3502.81151588012,3617.59824329664,10,90
94,3507.17517829731,3622.11527479531,10,90
95,3511.44704934407,3626.54042972457,10,90
96,3515.62415825085,3630.87059735993,10,90
97,3519.70335949732,3635.10247433525,10,90
98,3523.6813351559,3639.23567364591,10,89
99,3527.55459758726,3643.26803081715,10,89
100,3531.31949248704,3647.19197354056,10,89
101,3534.97220228208,3651.00345483687,10,89
102,3538.50874987344,3654.69825064469,10,89
103,3541.92500272228,3658.27196418824,10,89
104,3545.21667727368,3661.73153224966,10,88
105,3548.37934371203,3665.06219911373,10,88
106,3551.40843104069,3668.25849497732,10,88
107,3554.29923247702,3671.32732573069,10,87
108,3557.04691115299,3674.25522005586,10,87
109,3559.64650611011,3677.03406225496,10,87
110,3562.09293857641,3679.66574271516,10,86
111,3564.38101851193,3682.14834173204,10,86
112,3566.5054514083,3684.4842874649,10,85
113,3568.46084532701,3686.65100546566,10,85
114,3570.24171815999,3688.65992937382,10,84
115,3571.84250509585,3690.51005320514,10,83
116,3573.25756627386,3692.17552875811,10,83
117,3574.48119460824,3693.65197174116,10,82
118,3575.50762376429,3694.94973216123,10,82
119,3576.3310362683,3696.05454508739,10,81
120,3576.94557173306,3696.96222065591,10,81
121,3577.34533518105,3697.67575600631,10,80
122,3577.52440544792,3698.17919411057,10,79
123,3577.47684364922,3698.47235726457,10,79
124,3577.19670169417,3698.5544662093,10,78
125,3576.67803083119,3698.41203305964,10,77
126,3575.91489021064,3698.040232886,10,76
127,3574.90135545144,3697.44459614069,10,76
128,3573.63152719942,3696.60973840714,10,75
129,3572.09953966637,3695.53007074251,10,74
130,3570.29956914007,3694.20041826729,10,73
131,3568.2258424571,3692.62482297481,10,73
132,3565.87264543123,3690.78873273271,10,72
133,3563.23433123187,3688.68653848988,10,71
134,3560.30532870812,3686.31282521856,10,70
135,3557.08015065558,3683.66564632179,10,70
136,3553.55340202388,3680.74140203864,10,69
137,3549.71978806452,3677.52920008637,10,68
138,3545.57412241937,3674.0235098789,10,67
139,3541.1113351514,3670.21877839864,10,66
140,3536.32648071986,3666.11465782169,10,66
141,3531.21474590315,3661.70478140662,10,65
142,3525.77145767309,3656.97954444248,10,64
143,3519.99209102474,3651.91497669293,10,63
144,3513.87227676654,3646.54264995144,10,62
145,3507.40780927535,3640.84900586589,10,62
146,3500.59465422134,3634.83178953794,10,61
147,3493.4289562674,3628.46182025172,10,60
148,3485.90704674752,3621.74491270152,10,59
149,3478.02545132808,3614.68549779945,10,59
150,3469.78089765567,3607.26481077467,10,58
151,3461.17032299388,3599.49316505969,10,57
152,3452.19088185124,3591.35560687871,10,56
153,3442.83995360076,3582.86261494568,10,56
154,3433.11515009127,3573.99557616274,10,55
155,3423.01432324856,3564.75009243732,10,54
156,3412.53557266375,3555.13498036394,10,54
157,3401.67725316453,3545.13857931947,10,53
158,3390.43798236329,3534.75291447798,10,52
159,3378.81664817475,3523.98998061552,10,52
160,3366.81241741102,3512.83588712173,10,51
161,3354.42473875405,3501.28529686294,10,51
162,3341.65335674381,3489.35402381079,10,50
163,3328.49831472893,3477.02047263827,10,49
164,3314.95996310853,3464.29485682657,10,49
165,3301.03896641541,3451.17951524096,10,48
166,3286.73631026843,3437.65745712442,10,47
167,3272.05330817286,3423.75218176435,10,47
168,3256.99160814586,3409.43919428808,10,46
169,3241.55319914291,3394.73698427741,10,46
170,3225.74041725934,3379.65655588283,10,45
171,3209.55595167983,3364.16168567031,10,45
172,3193.00285034773,3348.27195528596,10,44
173,3176.08452532459,3331.99222180571,10,44
174,3158.80475780977,3315.32362101672,10,43
175,3141.16770278873,3298.26967293995,10,43
176,3123.17789327851,3280.83237019693,10,42
177,3104.84024413795,3263.01808697861,10,42
178,3086.16005541033,3244.8235740402,10,41
179,3067.14301516583,3226.26711868164,10,41
180,3047.79520181132,3207.33980446738,10,40
181,3028.12308583565,3188.06082263346,10,40
182,3008.13353095866,3168.41569862832,10,40
183,2987.83379465343,3148.43488234701,10,39
184,2967.23152801185,3128.10574404579,10,39
185,2946.33477492517,3107.44993761597,10,38
186,2925.15197055241,3086.46555018913,10,38
187,2903.69193905124,3065.15855925453,10,37
188,2881.96389054786,3043.55188983929,10,37
189,2859.97741732446,3021.63602920631,10,37
190,2837.74248920528,2999.44260093377,10,36
191,2815.26944812457,2976.96104912375,10,36
192,2792.56900186271,2954.20156212396,10,35
193,2769.65221693956,2931.19586610299,10,35
194,2746.53051065712,2907.93354712701,10,35
195,2723.2156422869,2884.43192884942,10,34
196,2699.71970340069,2860.71537139274,10,34
197,2676.05510734723,2836.77924211639,10,34
198,2652.23457788031,2812.6436192592,10,33
199,2628.27113694832,2788.33229526364,10,33
200,2604.17809165847,2763.83905809846,10,33
201,2579.96902043306,2739.18612476007,10,32
202,2555.65775837911,2714.39715696594,10,32
203,2531.25838189627,2689.4748950936,10,32
204,2506.78519255245,2664.43045145554,10,32
205,2482.25270025968,2639.2987402267,10,31
206,2457.67560578734,2614.07809687208,10,31
207,2433.06878265305,2588.78416800669,10,31
208,2408.44725843542,2563.44029719689,10,30
209,2383.82619555636,2538.06505258937,10,30
210,2359.22087158387,2512.6654822616,10,30
211,2334.6466591095,2487.25841088027,10,30
212,2310.11900525748,2461.87011486381,10,29
213,2285.65341088548,2436.51360131605,10,29
214,2261.26540953911,2411.20028715837,10,29
215,2236.97054622454,2385.94739351546,10,29
216,2212.78435606569,2360.77904524525,10,28
217,2188.72234291361,2335.71276668048,10,28
218,2164.7999579771,2310.75907798717,10,28
219,2141.03257854442,2285.93431932646,10,28
220,2117.43548686622,2261.26034020414,10,27
221,2094.02384927009,2236.75639644327,10,27
222,2070.81269557657,2212.43218185737,10,27
223,2047.81689888575,2188.30455431502,10,27
224,2025.05115580244,2164.39021706679,10,27
225,2002.52996716617,2140.70968175855,10,26
226,1980.26761935027,2117.28106680674,10,26
227,1958.27816619179,2094.11427055103,10,26
228,1936.57541161116,2071.22515660627,10,26
229,1915.17289297701,2048.62932375653,10,26
230,1894.08386526828,2026.34208592477,10,26
231,1873.32128608104,2004.38415227401,10,25
232,1852.89780152368,1982.76695003558,10,25
233,1832.82573303888,1961.50213879233,10,25
234,1813.11706518591,1940.60357457947,10,25
235,1793.78343441136,1920.08488832688,10,25
236,1774.83611883097,1899.9593264618,10,25
237,1756.28602903926,1880.24496384765,10,24
238,1738.14369995781,1860.95237683201,10,24
239,1720.41928372697,1842.09034223161,10,24
240,1703.1225436396,1823.67041790533,10,24
241,1686.26284910931,1805.70372508179,10,24
242,1669.84917165956,1788.20175737274,10,23
243,1653.89008191381,1771.17954249868,10,23
244,1638.39374756114,1754.64089870312,10,23
245,1623.36793226583,1738.59515301255,10,23
246,1608.81999548408,1723.05117301379,10,23
247,1594.75689314563,1708.0173655957,10,23
248,1581.18517915311,1693.50167671177,10,23
249,1568.11100764772,1679.51309094732,10,22
250,1555.54013598539,1666.06018086683,10,22
251,1543.47792836413,1653.14618644471,10,22
252,1531.92936004005,1640.77723437276,10,22
253,1520.89902206714,1628.95900227248,10,22
254,1510.39112649346,1617.69672325685,10,22
255,1500.40951194559,1606.99519104227,10,22
256,1490.95764953161,1596.85876553011,10,22
257,1482.03864899337,1587.29137877642,10,22
258,1473.65526503877,1578.29654126786,10,22
259,1465.80990378606,1569.87734842255,10,22
260,1458.5046292538,1562.03867233417,10,21
261,1451.74116983229,1554.78040229856,10,21
262,1445.52092467529,1548.10441555726,10,21
263,1439.84496995426,1542.01221858333,10,21
264,1434.71406492134,1536.50493552742,10,21
265,1430.1286577314,1531.5833144835,10,21
266,1426.08889097906,1527.24773349479,10,21
267,1422.59460691118,1523.49820625093,10,21
268,1419.64535228131,1520.33438743387,10,21
269,1417.24038281841,1517.75557767753,10,21
270,1415.37866728845,1515.76072811375,10,21
271,1414.05889113331,1514.34844448478,10,21
272,1413.27945967843,1513.51699081062,10,21
273,1413.03850090653,1513.26429260744,10,21
274,1413.33386780135,1513.58793966142,10,21
275,1414.16314027153,1514.48518836986,10,21
276,1415.52362667099,1515.95296366939,10,21
277,1417.41236493761,1517.98786057801,10,21
278,1419.82612337813,1520.58614538491,10,21
279,1422.76140113195,1523.74375652813,10,21
280,1426.21442835153,1527.45630520614,10,21
281,1430.18116614141,1531.71909336045,10,22
282,1434.65730630169,1536.52941645145,10,22
283,1439.63827092533,1541.87977320866,10,22
284,1445.11921190116,1547.76447304542,10,22
285,1451.0950103771,1554.17749944656,10,22
286,1457.56027623926,1561.11251017193,10,22
287,1464.5093476642,1568.56283762177,10,22
288,1471.93629080152,1576.52148943151,10,22
289,1479.8348996443,1584.98114936285,10,22
290,1488.1986961438,1593.93417855623,10,22
291,1497.0209306238,1603.37261720801,10,22
292,1506.29458254797,1613.29136827168,10,23
293,1516.01236169137,1623.6803561445,10,23
294,1526.1667097644,1634.52924929796,10,23
295,1536.74980253406,1645.82883829025,10,23
296,1547.75355248381,1657.56960946885,10,23
297,1559.16961204928,1669.74175028108,10,23
298,1570.9893774627,1682.33515533667,10,23
299,1583.20399323402,1695.34503452831,10,24
