"Ls","H_horiz","H_best","beta_best","gamma_c_best","H_worst","beta_worst","gamma_c_worst"
1,2496.22322716319,2623.54040348858,15,36,NA,NA,NA
2,2512.00611917522,2638.70055745005,15,36,NA,NA,NA
3,2527.61233170018,2653.6477130101,15,37,NA,NA,NA
4,2543.03954489238,2668.3894913381,15,37,NA,NA,NA
5,2558.28569622167,2682.90796768912,15,37,NA,NA,NA
6,2573.34897420696,2697.2247004131,15,38,NA,NA,NA
7,2588.22781187195,2711.32021028021,15,38,NA,NA,NA
8,2602.92087995711,2725.1913571341,15,39,NA,NA,NA
9,2617.42707992171,2738.87496539439,15,39,NA,NA,NA
10,2631.74553676902,2752.32158170596,15,40,NA,NA,NA
11,2645.87559172695,2765.56970038132,15,40,NA,NA,NA
12,2659.81679481546,2778.59333910909,15,40,NA,NA,NA
13,2673.56889733098,2791.40202042114,15,41,NA,NA,NA
14,2687.13184427681,2804.00711630886,15,41,NA,NA,NA
15,2700.5057667671,2816.42487954427,15,46,NA,NA,NA
16,2713.69097443041,2828.74112934025,15,46,NA,NA,NA
17,2726.68794638583,2840.98781551274,15,45,NA,NA,NA
18,2739.49732940696,2852.83945504602,15,45,NA,NA,NA
19,2752.11992212522,2864.47670124665,15,45,NA,NA,NA
20,2764.5566730887,2875.89976661869,15,44,NA,NA,NA
21,2776.80867217173,2887.08372849436,15,44,NA,NA,NA
22,2788.87714342873,2898.05979611944,15,44,NA,NA,NA
23,2800.76343808089,2908.6800066039,15,43,NA,NA,NA
24,2812.46902764682,2919.21749933076,15,43,NA,NA,NA
25,2823.99549722637,2929.50858851208,15,47,NA,NA,NA
26,2835.34453894493,2939.80897663207,15,49,NA,NA,NA
27,2846.51794556315,2949.94636043255,15,49,NA,NA,NA
28,2857.5176042556,2959.89292200068,15,49,NA,NA,NA
29,2868.34549055944,2969.67297856339,15,50,NA,NA,NA
30,2879.00366249268,2979.28077597789,15,50,NA,NA,NA
31,2889.49425483967,2988.6986565465,15,51,NA,NA,NA
32,2899.81947359972,2998.00267841832,15,52,NA,NA,NA
33,2909.98159059337,3007.15299898155,15,53,NA,NA,NA
34,2919.98293821895,3016.15818314353,15,53,NA,NA,NA
35,2929.82590435116,3025.02980521809,15,54,NA,NA,NA
36,2939.51292737168,3033.76520347525,15,55,NA,NA,NA
37,2949.04649132105,3042.38876532106,15,56,NA,NA,NA
38,2958.42912116004,3050.86005485507,15,57,NA,NA,NA
39,2967.66337812764,3059.20419541085,15,57,NA,NA,NA
40,2976.7518551826,3067.4116255349,15,58,NA,NA,NA
41,2985.69717251454,3075.52613726581,15,59,NA,NA,NA
42,2994.50197311063,3083.52864754008,15,60,NA,NA,NA
43,3003.16891836351,3091.42365713659,15,61,NA,NA,NA
44,3011.70068370629,3099.26676544028,14,63,NA,NA,NA
45,3020.09995426056,3107.06727128463,14,64,NA,NA,NA
46,3028.36942048381,3114.77958496554,14,66,NA,NA,NA
47,3036.5117738031,3122.39995131834,14,66,NA,NA,NA
48,3044.52970222276,3129.91498218647,14,67,NA,NA,NA
49,3052.4258858944,3137.34151525031,14,68,NA,NA,NA
50,3060.20299263898,3144.68266157556,14,69,NA,NA,NA
51,3067.86367341146,3151.94134748769,14,70,NA,NA,NA
52,3075.41055770008,3159.10074431834,14,70,NA,NA,NA
53,3082.84624885378,3166.19559326873,14,72,NA,NA,NA
54,3090.17331933243,3173.22225750667,14,73,NA,NA,NA
55,3097.3943058766,3180.1762035977,14,74,NA,NA,NA
56,3104.51170459501,3187.05933552161,14,75,NA,NA,NA
57,3111.52796596946,3193.87333583821,14,76,NA,NA,NA
58,3118.44548977901,3200.64939231384,13,77,NA,NA,NA
59,3125.26661994678,3207.35416124113,13,78,NA,NA,NA
60,3131.9936393145,3213.98851643839,13,79,NA,NA,NA
61,3138.62876435176,3220.55331150261,13,80,NA,NA,NA
62,3145.17413980844,3227.04918055728,13,81,NA,NA,NA
63,3151.6318333206,3233.47653576148,13,82,NA,NA,NA
64,3158.00382998128,3239.8589830409,13,84,NA,NA,NA
65,3164.2920268896,3246.18280633285,13,84,NA,NA,NA
66,3170.49822769215,3252.42452695875,13,84,NA,NA,NA
67,3176.62413713254,3258.58669511821,13,85,NA,NA,NA
68,3182.67135562537,3264.69004421345,13,85,NA,NA,NA
69,3188.64137387202,3270.72532683935,13,86,NA,NA,NA
70,3194.53556753644,3276.69448011846,13,86,NA,NA,NA
71,3200.35519199921,3282.60289669735,13,87,NA,NA,NA
72,3206.10137720903,3288.44084397736,13,87,NA,NA,NA
73,3211.77512265051,3294.22102731403,13,88,NA,NA,NA
74,3217.37729244743,3299.92949756425,13,88,NA,NA,NA
75,3222.90861062034,3305.56648299777,13,88,NA,NA,NA
76,3228.36965651716,3311.13276346125,13,88,NA,NA,NA
77,3233.76086043509,3316.65118851434,14,91,NA,NA,NA
78,3239.08249945144,3322.11682217892,14,91,NA,NA,NA
79,3244.33469348043,3327.51012428481,14,91,NA,NA,NA
80,3249.51740157248,3332.83797841913,14,92,NA,NA,NA
81,3254.63041847141,3338.09614002636,14,92,NA,NA,NA
82,3259.67337144433,3343.28071966912,14,92,NA,NA,NA
