step,t_elapsed,Ls,phi,longitude,tau,Ts,beta,gamma_c,irradiance,power
1,0,81,34,17,0.5,12.0,30.85,-0.79,429.29,140.5323744
2,0,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
3,0,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
4,1,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
5,1,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
6,1,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
7,1,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
8,2,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
9,2,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
10,2,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
11,2,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
12,3,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
13,3,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
14,3,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
15,4,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
16,4,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
17,4,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
18,4,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
19,5,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
20,5,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
21,5,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
22,5,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
23,6,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
24,6,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
25,6,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
26,7,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
27,7,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
28,7,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
29,7,81,34,17,0.5,12.0,30.85,-0.78,429.29,140.5323744
