step,t_elapsed,Ls,phi,longitude,tau,Ts,beta,gamma_c,irradiance,power
1,0,81,34,17,0.5,12.0,1.43,0.5,449.58,147.1745088
2,0,81,34,17,0.5,12.0,1.43,0.51,449.58,147.1745088
3,0,81,34,17,0.5,12.0,1.43,0.51,449.58,147.1745088
4,1,81,34,17,0.5,12.0,1.43,0.51,449.58,147.1745088
5,1,81,34,17,0.5,12.0,1.43,0.51,449.58,147.1745088
6,1,81,34,17,0.5,12.0,1.43,0.51,449.58,147.1745088
7,2,81,34,17,0.5,12.0,1.43,0.51,449.58,147.1745088
8,2,81,34,17,0.5,12.0,1.43,0.51,449.58,147.1745088
9,2,81,34,17,0.5,12.0,1.43,0.51,449.58,147.1745088
10,3,81,34,17,0.5,12.0,1.43,0.51,449.58,147.1745088
11,3,81,34,17,0.5,12.0,1.43,0.51,449.58,147.1745088
12,3,81,34,17,0.5,12.0,1.43,0.51,449.58,147.1745088
13,4,81,34,17,0.5,12.0,1.43,0.51,449.58,147.1745088
14,4,81,34,17,0.5,12.0,1.43,0.51,449.58,147.1745088
15,4,81,34,17,0.5,12.0,1.43,0.51,449.58,147.1745088
16,5,81,34,17,0.5,12.0,1.43,0.52,449.58,147.1745088
17,5,81,34,17,0.5,12.0,1.43,0.52,449.58,147.1745088
18,5,81,34,17,0.5,12.0,1.43,0.52,449.58,147.1745088
19,5,81,34,17,0.5,12.0,1.43,0.52,449.58,147.1745088
20,6,81,34,17,0.5,12.0,1.43,0.52,449.58,147.1745088
21,6,81,34,17,0.5,12.0,1.43,0.52,449.58,147.1745088
22,6,81,34,17,0.5,12.0,1.43,0.52,449.58,147.1745088
23,6,81,34,17,0.5,12.0,1.43,0.52,449.58,147.1745088
24,7,81,34,17,0.5,12.0,1.43,0.52,449.58,147.1745088
25,7,81,34,17,0.5,12.0,1.43,0.52,449.58,147.1745088
26,7,81,34,17,0.5,12.0,1.43,0.52,449.58,147.1745088
27,7,81,34,17,0.5,12.0,1.43,0.52,449.58,147.1745088
28,8,81,34,17,0.5,12.0,1.43,0.52,449.58,147.1745088
29,8,81,34,17,0.5,12.0,1.43,0.52,449.58,147.1745088
30,8,81,34,17,0.5,12.0,1.43,0.52,449.58,147.1745088
31,9,81,34,17,0.5,12.0,1.43,0.52,449.58,147.1745088
32,9,81,34,17,0.5,12.0,1.43,0.52,449.58,147.1745088
33,9,81,34,17,0.5,12.0,1.43,0.53,449.58,147.1745088
34,9,81,34,17,0.5,12.0,1.43,0.53,449.58,147.1745088
35,10,81,34,17,0.5,12.0,1.43,0.53,449.58,147.1745088
36,10,81,34,17,0.5,12.0,1.43,0.53,449.58,147.1745088
37,10,81,34,17,0.5,12.0,1.43,0.53,449.58,147.1745088
38,11,81,34,17,0.5,12.0,1.43,0.53,449.58,147.1745088
39,11,81,34,17,0.5,12.0,1.43,0.53,449.58,147.1745088
40,11,81,34,17,0.5,12.0,1.42,0.53,449.57,147.1712352
41,11,81,34,17,0.5,12.0,1.42,0.53,449.57,147.1712352
42,11,81,34,17,0.5,12.0,1.42,0.53,449.57,147.1712352
43,12,81,34,17,0.5,12.0,1.42,0.53,449.57,147.1712352
44,12,81,34,17,0.5,12.0,1.42,0.53,449.57,147.1712352
45,12,81,34,17,0.5,12.0,1.42,0.53,449.57,147.1712352
46,12,81,34,17,0.5,12.0,1.42,0.53,449.57,147.1712352
47,12,81,34,17,0.5,12.0,1.42,0.53,449.57,147.1712352
48,12,81,34,17,0.5,12.0,1.42,0.53,449.57,147.1712352
49,12,81,34,17,0.5,12.0,1.42,0.53,449.57,147.1712352
50,13,81,34,17,0.5,12.0,1.42,0.53,449.57,147.1712352
51,13,81,34,17,0.5,12.0,1.42,0.53,449.57,147.1712352
52,13,81,34,17,0.5,12.0,1.42,0.53,449.57,147.1712352
53,13,81,34,17,0.5,12.0,1.42,0.53,449.57,147.1712352
54,13,81,34,17,0.5,12.0,1.42,0.53,449.57,147.1712352
55,13,81,34,17,0.5,12.0,1.42,0.53,449.57,147.1712352
56,14,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
57,14,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
58,14,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
59,14,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
60,14,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
61,15,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
62,15,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
63,15,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
64,15,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
65,15,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
66,15,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
67,16,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
68,16,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
69,16,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
70,16,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
71,16,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
72,17,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
73,17,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
74,17,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
75,17,81,34,17,0.5,12.0,1.42,0.54,449.57,147.1712352
76,18,81,34,17,0.5,12.01,1.42,0.54,449.57,147.1712352
77,18,81,34,17,0.5,12.01,1.42,0.54,449.57,147.1712352
78,18,81,34,17,0.5,12.01,1.42,0.54,449.57,147.1712352
79,18,81,34,17,0.5,12.01,1.42,0.54,449.57,147.1712352
80,18,81,34,17,0.5,12.01,1.42,0.55,449.57,147.1712352
81,19,81,34,17,0.5,12.01,1.42,0.55,449.57,147.1712352
82,19,81,34,17,0.5,12.01,1.42,0.55,449.57,147.1712352
83,19,81,34,17,0.5,12.01,1.42,0.55,449.57,147.1712352
84,19,81,34,17,0.5,12.01,1.42,0.55,449.57,147.1712352
85,20,81,34,17,0.5,12.01,1.42,0.55,449.57,147.1712352
86,20,81,34,17,0.5,12.01,1.42,0.55,449.57,147.1712352
87,20,81,34,17,0.5,12.01,1.42,0.55,449.57,147.1712352
88,20,81,34,17,0.5,12.01,1.41,0.55,449.57,147.1712352
89,20,81,34,17,0.5,12.01,1.41,0.55,449.57,147.1712352
90,21,81,34,17,0.5,12.01,1.41,0.55,449.57,147.1712352
91,21,81,34,17,0.5,12.01,1.41,0.55,449.57,147.1712352
92,21,81,34,17,0.5,12.01,1.41,0.55,449.57,147.1712352
93,21,81,34,17,0.5,12.01,1.4,0.55,449.56,147.1679616
94,22,81,34,17,0.5,12.01,1.4,0.55,449.56,147.1679616
95,22,81,34,17,0.5,12.01,1.4,0.55,449.56,147.1679616
96,22,81,34,17,0.5,12.01,1.4,0.55,449.56,147.1679616
97,22,81,34,17,0.5,12.01,1.39,0.55,449.55,147.164688
98,22,81,34,17,0.5,12.01,1.39,0.55,449.55,147.164688
99,23,81,34,17,0.5,12.01,1.39,0.55,449.55,147.164688
100,23,81,34,17,0.5,12.01,1.38,0.55,449.54,147.1614144
101,23,81,34,17,0.5,12.01,1.38,0.56,449.54,147.1614144
102,23,81,34,17,0.5,12.01,1.38,0.56,449.54,147.1614144
103,24,81,34,17,0.5,12.01,1.37,0.56,449.54,147.1614144
104,24,81,34,17,0.5,12.01,1.37,0.56,449.54,147.1614144
105,24,81,34,17,0.5,12.01,1.36,0.56,449.53,147.1581408
106,24,81,34,17,0.5,12.01,1.36,0.56,449.53,147.1581408
107,24,81,34,17,0.5,12.01,1.36,0.56,449.53,147.1581408
108,25,81,34,17,0.5,12.01,1.35,0.56,449.52,147.1548672
109,25,81,34,17,0.5,12.01,1.34,0.56,449.52,147.1548672
110,25,81,34,17,0.5,12.01,1.34,0.56,449.52,147.1548672
111,25,81,34,17,0.5,12.01,1.33,0.56,449.51,147.1515936
112,26,81,34,17,0.5,12.01,1.32,0.56,449.5,147.14832
113,26,81,34,17,0.5,12.01,1.32,0.56,449.5,147.14832
114,26,81,34,17,0.5,12.01,1.31,0.56,449.49,147.1450464
115,26,81,34,17,0.5,12.01,1.31,0.56,449.49,147.1450464
116,27,81,34,17,0.5,12.01,1.3,0.56,449.49,147.1450464
117,27,81,34,17,0.5,12.01,1.29,0.56,449.48,147.1417728
118,27,81,34,17,0.5,12.01,1.29,0.56,449.48,147.1417728
